player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
John Higgins,Ding Junhui,9,1391,1501,0.33598453764848735,0.4316800165217519,1115,789,9194,5421,533,352,3928,2231,271,148,1147,661,182,108,1293,765,2,5,1.0,0.2857142857142857,1033
Mike Dunn,Craig Steadman,9,1274,1316,0.4356958412515649,0.4737740906279313,572,303,4262,2196,320,184,2096,1129,183,99,636,315,237,134,671,338,5,3,0.0,0.625,1033
Graeme Dott,Luca Brecel,9,1395,1276,0.6765144327536381,0.5738312575916094,658,385,5224,2789,153,77,1067,545,274,157,1051,579,207,112,810,424,5,2,0.0,0.7142857142857143,1033
Peter Ebdon,Ali Carter,9,1388,1516,0.3111924897771744,0.4206757478512505,888,514,7253,3904,686,410,4986,2738,235,141,966,498,55,24,920,518,3,5,1.0,0.375,1033
Neil Robertson,Graeme Dott,9,1578,1395,0.7588407806226307,0.6124209393479161,651,424,4878,2759,658,385,5224,2789,362,215,1679,989,274,157,1051,579,5,3,0.0,0.625,1033
Mark King,Ding Junhui,9,1288,1501,0.20709236552875776,0.36993399171498176,729,400,5499,2868,533,352,3928,2231,174,86,867,446,182,108,1293,765,2,5,1.0,0.2857142857142857,1033
Mark Selby,Mike Dunn,9,1645,1274,0.9202164313080867,0.7165678145577146,768,521,5625,3241,572,303,4262,2196,311,188,1738,1053,183,99,636,315,3,5,1.0,0.375,1033
Ricky Walden,Ali Carter,9,1497,1516,0.4708038156707409,0.4881272322437472,582,360,4272,2381,686,410,4986,2738,387,235,1374,767,55,24,920,518,3,5,1.0,0.375,1033
Neil Robertson,Ali Carter,11,1578,1516,0.6036516239508452,0.538672605206508,651,424,4878,2759,686,410,4986,2738,362,215,1679,989,55,24,920,518,6,2,0.0,0.75,1033
Ding Junhui,Mike Dunn,11,1501,1274,0.8305871461583106,0.6381861133090055,533,352,3928,2231,572,303,4262,2196,182,108,1293,765,183,99,636,315,6,0,0.0,1.0,1033
Ding Junhui,Neil Robertson,19,1501,1578,0.3355003742442319,0.4520230623632036,533,352,3928,2231,651,424,4878,2759,182,108,1293,765,362,215,1679,989,10,5,0.0,0.6666666666666666,1033
Ben Woollaston,Ding Junhui,7,1335,1573,0.2089905743017545,0.3554884462937054,378,217,2495,1341,540,359,3982,2272,207,108,949,522,236,149,1347,806,4,3,0.0,0.5714285714285714,1041
Mark Williams,Lyu Haotian,7,1459,1133,0.8649416467776995,0.6931739493259501,1067,698,8491,4852,55,21,390,171,341,201,1218,693,130,52,390,171,4,1,0.0,0.8,1041
Ju Reti,Judd Trump,7,1165,1563,0.09042117718801701,0.2699256160188812,23,17,127,79,559,369,3883,2247,30,17,127,79,439,270,1661,973,1,4,1.0,0.19999999999999996,1041
Joe Perry,Mark Davis,7,1460,1392,0.5920814957526257,0.542397940774351,788,459,5811,3112,808,488,6036,3286,332,190,1323,744,305,172,1457,812,4,3,0.0,0.5714285714285714,1041
