player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Duane Jones,Mei Xiwen,7,1237,1220,0.5232282019769063,0.5106234010049637,111,64,627,354,48,24,319,156,19,7,212,113,44,24,94,50,4,1,0.0,0.8,2248
Robin Hull,James Cahill,7,1373,1100,0.8230423767770356,0.6642964428999887,462,280,3571,1970,106,35,680,282,29,17,394,207,14,4,373,160,4,2,0.0,0.6666666666666666,2248
Michael Holt,Stuart Carrington,7,1336,1290,0.5626145694127913,0.5287183569514396,680,399,4982,2653,243,130,1542,809,27,12,797,422,24,11,489,241,4,3,0.0,0.5714285714285714,2248
Andrew Higginson,Daniel Wells,7,1331,1271,0.5814204865006773,0.5374298453437496,624,374,4450,2446,282,139,1887,940,25,11,588,313,37,21,462,233,4,1,0.0,0.8,2248
John Higgins,Paul Davison,7,1560,1242,0.8591236298223967,0.6889039179769546,1249,882,10077,5953,610,326,4301,2210,95,60,1154,680,23,10,442,223,4,0,0.0,1.0,2248
Barry Hawkins,Martin O'Donnell,7,1495,1214,0.829876495909729,0.668741821102192,777,478,5574,3090,234,111,1413,703,39,26,939,522,17,7,380,200,4,0,0.0,1.0,2248
Anthony Hamilton,Boonyarit Keattikun,7,1261,1091,0.7192100641468833,0.6046790847140093,747,434,5821,3113,16,6,123,54,33,18,427,206,10,0,123,54,4,2,0.0,0.6666666666666666,2248
David Gilbert,Zhao Xintong,7,1449,1344,0.6403298636636867,0.5652507475670999,448,253,3326,1770,73,41,471,263,39,20,729,392,22,10,296,164,4,1,0.0,0.8,2248
Michael Georgiou,Patrick Wallace,7,1269,1304,0.4522702554497651,0.47813894602839846,143,66,871,424,387,220,3135,1693,36,19,406,202,0,0,0,0,4,2,0.0,0.6666666666666666,2248
Marco Fu,Ryan Day,7,1558,1440,0.6567774862994666,0.5732197726798348,764,456,5666,3091,764,462,5352,2951,99,71,1082,615,36,21,1091,609,4,3,0.0,0.5714285714285714,2248
Tom Ford,Ian Burns,7,1347,1264,0.611870456908998,0.5516896693427,500,285,3598,1917,259,138,1610,834,16,6,603,322,19,9,448,213,4,2,0.0,0.6666666666666666,2248
Kurt Dunham,Christopher Keogan,7,985,1139,0.29937471450906367,0.40492152613386595,2,0,11,1,97,40,535,252,11,1,11,1,14,4,281,146,4,2,0.0,0.6666666666666666,2248
Adam Duffy,Michael Wild,7,1308,1173,0.6778138346852377,0.5835831155172753,269,139,1716,884,277,154,1676,909,15,5,499,266,18,8,74,31,4,2,0.0,0.6666666666666666,2248
Scott Donaldson,Robert Milkins,7,1229,1394,0.286533617594737,0.3983128198171432,156,78,1016,495,729,446,5396,2951,26,12,473,221,53,32,904,485,4,1,0.0,0.8,2248
Ken Doherty,Ashley Hugill,7,1246,1098,0.6935058085008956,0.5914589784327801,1056,648,8684,4782,44,22,232,115,10,0,561,280,0,0,210,105,4,0,0.0,1.0,2248
Yu Delu,Ding Junhui,7,1329,1453,0.3357342215120212,0.42311473886795364,214,112,1494,767,606,404,4501,2568,70,35,501,253,27,14,755,445,4,2,0.0,0.6666666666666666,2248
Mark Davis,Jason Weston,7,1505,1142,0.8895753795158947,0.7124883131320702,941,569,6788,3708,289,160,2236,1179,43,25,1057,594,13,3,149,66,4,0,0.0,1.0,2248
Dominic Dale,Joe Swail,7,1344,1293,0.5693507188778237,0.5318318894162242,808,466,5864,3132,770,417,6098,3182,52,29,863,475,28,15,604,313,4,2,0.0,0.6666666666666666,2248
Sam Craigie,Jamie Jones,7,1306,1472,0.2853801489272095,0.3977138231113694,99,53,592,317,416,253,2768,1514,24,12,148,91,46,29,683,377,4,0,0.0,1.0,2248
Jamie Cope,Adam Stefanow,7,1272,1007,0.8160262378047215,0.6598217549720575,518,280,3511,1793,26,11,134,58,12,2,496,252,18,5,73,28,4,2,0.0,0.6666666666666666,2248
Jordan Brown,Ben Woollaston,7,1157,1382,0.22176316048224076,0.3629692055196168,77,42,494,254,465,269,3022,1618,0,0,67,33,38,18,734,385,4,2,0.0,0.6666666666666666,2248
Luca Brecel,Shaun Murphy,7,1444,1601,0.2958451289488597,0.40311562174023297,218,116,1486,778,880,578,6503,3715,46,27,626,345,63,37,1329,803,4,0,0.0,1.0,2248
Alex Borg,Dechawat Poomjaeng,7,1192,1272,0.3920645840647391,0.45016600268752216,326,142,2369,1093,205,112,1471,750,22,10,309,141,16,6,622,323,4,2,0.0,0.6666666666666666,2248
Josh Boileau,Mike Dunn,7,1114,1333,0.22781497267732487,0.3664446223632249,50,27,262,137,633,340,4673,2419,15,5,164,89,35,19,594,322,4,3,0.0,0.5714285714285714,2248
Yan Bingtao,Steven Hallworth,7,1212,1080,0.6741427448520734,0.5817593768418363,38,19,266,136,53,16,331,137,37,18,227,113,0,0,226,85,4,1,0.0,0.8,2248
Jamie Barrett,Matthew Selt,7,1068,1421,0.11671949166410808,0.29265998548192695,38,16,218,106,450,248,3129,1639,13,3,71,32,14,4,919,526,4,2,0.0,0.6666666666666666,2248
Sam Baird,Noppon Saengkham,7,1299,1229,0.5947357972115818,0.5436386872370789,259,137,1758,909,134,57,954,437,22,10,501,258,33,18,543,258,4,3,0.0,0.5714285714285714,2248
John Astley,Xiao Guodong,7,1136,1433,0.15700108129616114,0.32245770467253076,127,56,784,356,341,198,2261,1248,14,4,226,83,34,19,626,355,4,3,0.0,0.5714285714285714,2248
Zhang Anda,Ian Preece,7,1314,1164,0.6958878075458884,0.5926665999540697,236,116,1636,814,172,96,1283,664,41,23,505,257,18,5,18,5,4,0,0.0,1.0,2248
Mark Allen,Mark Joyce,7,1488,1369,0.6580301976734948,0.5738312575916094,609,391,4157,2334,380,202,2734,1393,64,35,853,489,31,15,542,279,4,1,0.0,0.8,2248
Zhou Yuelong,Allan Taylor,7,1318,1158,0.7076639986592218,0.598687660112452,90,48,606,316,231,111,1353,679,39,20,442,237,11,1,332,135,4,0,0.0,1.0,2248
Kyren Wilson,Jordan Brown,7,1450,1157,0.8397864427779326,0.6753536404444148,291,176,1856,1022,77,42,494,254,27,17,609,338,0,0,67,33,4,2,0.0,0.6666666666666666,2248
Gary Wilson,Andrew Higginson,7,1334,1331,0.5041014855971089,0.5018749912109869,319,187,2054,1121,624,374,4450,2446,20,9,520,260,25,11,588,313,4,3,0.0,0.5714285714285714,2248
Mark Williams,Craig Steadman,7,1547,1277,0.8204326451879429,0.6626218371700825,1193,785,9208,5276,364,203,2420,1284,68,41,1058,625,18,8,561,289,4,0,0.0,1.0,2248
Robbie Williams,Yu Delu,7,1303,1329,0.4645031181885513,0.48375571893792757,288,159,1815,935,214,112,1494,767,20,9,539,270,70,35,501,253,4,1,0.0,0.8,2248
Michael White,Chen Zhe,7,1389,1188,0.7534472409879828,0.6230466603666162,354,204,2432,1303,162,81,993,496,30,15,832,454,16,6,219,104,4,3,0.0,0.5714285714285714,2248
Ricky Walden,Kritsanut Lertsattayathorn,7,1491,1115,0.8973679326012581,0.7190996574163839,669,413,4798,2679,11,5,88,44,44,28,913,533,15,5,88,44,4,3,0.0,0.5714285714285714,2248
Hossein Vafaei,Zak Surety,7,1200,1165,0.5477297445502348,0.5218610539716015,39,21,296,147,93,41,554,260,19,8,185,94,0,0,257,110,4,2,0.0,0.6666666666666666,2248
Akani Songsermsawad,Mark Davis,7,1029,1505,0.05613279605512275,0.23325893577145726,13,4,87,35,941,569,6788,3708,19,6,48,18,43,25,1057,594,4,3,0.0,0.5714285714285714,2248
Joe Perry,Jimmy Robertson,7,1501,1336,0.7134663824052628,0.6016871801828567,900,534,6514,3521,377,204,2536,1310,43,23,1035,599,27,15,703,378,4,3,0.0,0.5714285714285714,2248
Fraser Patrick,Duane Jones,7,1195,1237,0.44278839657477087,0.4737740906279313,164,69,1080,498,111,64,627,354,18,8,374,164,19,7,212,113,4,0,0.0,1.0,2248
Ronnie O'Sullivan,Jimmy White,7,1690,1229,0.9382767050137978,0.7599672558590728,1081,821,9536,5807,1371,772,11838,6242,93,61,693,454,22,12,412,191,4,1,0.0,0.8,2248
Fergal O'Brien,Mitchell Mann,7,1428,1254,0.7237619985420221,0.6070669880717036,790,454,6013,3186,179,85,1097,541,40,23,690,376,42,24,334,154,4,0,0.0,1.0,2248
Anthony McGill,Aditya Mehta,7,1409,1264,0.6899164671577602,0.5896454785627312,349,210,2260,1244,244,122,1674,833,30,14,748,407,17,6,454,229,4,3,0.0,0.5714285714285714,2248
Kurt Maflin,Alex Borg,7,1320,1192,0.6692199309586204,0.5793242521487495,440,254,2930,1581,326,142,2369,1093,24,13,577,291,22,10,309,141,4,1,0.0,0.8,2248
Jack Lisowski,John Astley,7,1248,1136,0.6492231123314619,0.569546223939229,314,185,2042,1103,127,56,784,356,16,6,515,261,14,4,226,83,4,1,0.0,0.8,2248
Sanderson Lam,Alan McManus,7,1136,1383,0.20042350026365735,0.3503502507095912,92,42,535,248,855,512,7164,3804,16,6,312,148,24,9,742,413,4,0,0.0,1.0,2248
Mark King,Liang Wenbo,7,1351,1420,0.4065907825999159,0.4569816192756902,819,454,6039,3159,477,288,3286,1817,17,7,714,377,48,30,911,513,4,2,0.0,0.6666666666666666,2248
Robin Hull,Lee Walker,7,1373,1225,0.6935058085008956,0.5914589784327801,462,280,3571,1970,395,222,3098,1610,29,17,394,207,14,4,327,157,4,2,0.0,0.6666666666666666,2248
John Higgins,Sam Craigie,7,1560,1306,0.8060824586598727,0.653622330899504,1249,882,10077,5953,99,53,592,317,95,60,1154,680,24,12,148,91,4,1,0.0,0.8,2248
Barry Hawkins,Michael Holt,7,1495,1336,0.7064965786766507,0.5980868603322034,777,478,5574,3090,680,399,4982,2653,39,26,939,522,27,12,797,422,4,1,0.0,0.8,2248
