player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
James Wattana,Lyu Haotian,11,1245,1335,0.3514929866287787,0.4439861094553801,834,444,6983,3630,150,65,1101,520,90,38,383,157,133,67,555,277,2,6,1.0,0.25,2856
Li Hang,Robbie Williams,11,1350,1322,0.5472572525240895,0.5174928576663897,307,159,2219,1147,394,210,2608,1328,202,109,735,384,144,74,569,281,6,4,0.0,0.6,2856
David Gilbert,Scott Donaldson,11,1550,1377,0.767584817259837,0.6064704870683035,666,385,4858,2613,277,142,1904,956,380,222,1176,642,198,106,682,359,3,6,1.0,0.33333333333333337,2856
Ali Carter,Sam Craigie,11,1465,1347,0.691303602887055,0.5732197726798349,994,604,7042,3893,191,95,1198,615,296,166,1065,593,117,57,479,236,4,6,1.0,0.4,2856
Luca Brecel,Michael Holt,11,1326,1372,0.4226842676351091,0.4712816430485603,398,222,2732,1453,873,502,6301,3344,156,79,909,488,171,95,779,403,6,4,0.0,0.6,2856
Stuart Bingham,Peter Ebdon,11,1491,1316,0.7701380681178696,0.6076631698328917,1149,731,8339,4751,1113,635,8725,4679,239,131,1085,620,117,52,675,357,6,3,0.0,0.6666666666666666,2856
Ben Woollaston,Lyu Haotian,11,1334,1335,0.4983081107559046,0.4993750003255206,643,364,4198,2227,150,65,1101,520,183,93,847,440,133,67,555,277,6,4,0.0,0.6,2856
Neil Robertson,Lu Ning,11,1580,1339,0.8448653440403099,0.6462280583309002,979,645,7181,4110,121,54,833,399,259,153,1223,715,144,75,368,201,6,0,0.0,1.0,2856
Alan McManus,Anthony McGill,11,1316,1366,0.4160612949329694,0.4687906266262437,965,567,8036,4257,549,331,3614,1974,141,71,572,291,207,107,997,520,6,3,0.0,0.6666666666666666,2856
Jack Lisowski,Li Hang,11,1487,1350,0.7189179636673898,0.584797674717737,494,306,3293,1826,307,159,2219,1147,207,124,1016,593,202,109,735,384,6,4,0.0,0.6,2856
Scott Donaldson,Ricky Walden,11,1377,1421,0.4260044467679594,0.4725276956554063,277,142,1904,956,907,545,6336,3489,198,106,682,359,197,112,1024,548,6,5,0.0,0.5454545454545454,2856
Liang Wenbo,Sam Craigie,11,1411,1347,0.6069119338528445,0.5399148845555658,652,390,4569,2509,191,95,1198,615,202,110,836,442,117,57,479,236,2,6,1.0,0.25,2856
Hossein Vafaei,Luca Brecel,11,1403,1326,0.6279039800050926,0.5479769376367964,132,76,1041,533,398,222,2732,1453,153,83,628,329,156,79,909,488,0,6,1.0,0.0,2856
Rod Lawler,Stuart Bingham,11,1173,1491,0.09145650502646918,0.3110960820230454,836,441,6319,3236,1149,731,8339,4751,77,26,368,141,239,131,1085,620,1,6,1.0,0.1428571428571429,2856
Sam Craigie,Neil Robertson,11,1347,1580,0.1631892038769457,0.35835754679843657,191,95,1198,615,979,645,7181,4110,117,57,479,236,259,153,1223,715,0,6,1.0,0.0,2856
Jack Lisowski,Stuart Bingham,11,1487,1491,0.493232760237834,0.497500020833125,494,306,3293,1826,1149,731,8339,4751,207,124,1016,593,239,131,1085,620,6,5,0.0,0.5454545454545454,2856
Scott Donaldson,Ben Woollaston,11,1377,1334,0.572333394721473,0.5268491486891144,277,142,1904,956,643,364,4198,2227,198,106,682,359,183,93,847,440,6,4,0.0,0.6,2856
Luca Brecel,Alan McManus,11,1326,1316,0.516913659711329,0.5062496744995104,398,222,2732,1453,965,567,8036,4257,156,79,909,488,141,71,572,291,6,1,0.0,0.8571428571428571,2856
Luca Brecel,Neil Robertson,19,1326,1580,0.08212797937224237,0.34637766910049606,398,222,2732,1453,979,645,7181,4110,156,79,909,488,259,153,1223,715,7,10,1.0,0.4117647058823529,2856
Scott Donaldson,Jack Lisowski,19,1377,1487,0.2721436192814054,0.4316800165217519,277,142,1904,956,494,306,3293,1826,198,106,682,359,207,124,1016,593,1,10,1.0,0.09090909090909083,2856
Jack Lisowski,Neil Robertson,21,1487,1580,0.295114707515175,0.4421354272792656,494,306,3293,1826,979,645,7181,4110,207,124,1016,593,259,153,1223,715,4,11,1.0,0.2666666666666667,2856
Judd Trump,Mark Williams,17,1677,1468,0.8614978186200597,0.6277321638605189,1017,704,6970,4163,1491,980,11221,6446,462,300,1611,1009,245,136,1500,885,9,8,0.0,0.5294117647058824,2916
Neil Robertson,Mark Selby,17,1646,1518,0.7479538110105842,0.5793242521487495,986,652,7248,4161,1182,820,8646,5063,326,204,1290,766,401,239,1509,891,9,8,0.0,0.5294117647058824,2916
Stuart Bingham,Ronnie O'Sullivan,17,1525,1616,0.31723565955289024,0.4433690400777467,1154,735,8380,4780,1274,978,11096,6796,280,160,1126,649,243,150,1162,736,3,9,1.0,0.25,2916
Mark Allen,Kyren Wilson,17,1577,1510,0.6369136372150981,0.5417773692836367,833,547,5849,3326,579,362,3895,2175,316,196,1347,794,342,202,1571,894,9,7,0.0,0.5625,2916
Neil Robertson,Mark Allen,19,1646,1577,0.6482868635805126,0.5430183807243099,986,652,7248,4161,833,547,5849,3326,326,204,1290,766,316,196,1347,794,10,6,0.0,0.625,2916
Judd Trump,Ronnie O'Sullivan,19,1677,1616,0.6317927602686855,0.5380512843858591,1017,704,6970,4163,1274,978,11096,6796,462,300,1611,1009,243,150,1162,736,9,10,1.0,0.4736842105263158,2916
Neil Robertson,Ronnie O'Sullivan,25,1646,1616,0.5750954212070668,0.5187412158785352,986,652,7248,4161,1274,978,11096,6796,326,204,1290,766,243,150,1162,736,11,13,1.0,0.45833333333333337,2916
Dan Barsley,Mark Winsor,7,1005,1000,0.506835581479668,0.5031249593105317,4,2,20,10,0,0,0,0,0,0,20,10,0,0,0,0,1,4,1.0,0.19999999999999996,2880
Damian Wilks,Paul Gibbs,7,947,991,0.440085429269587,0.4725276956554063,29,10,153,60,2,1,9,4,0,0,0,0,0,0,9,4,4,0,0.0,1.0,2880
Hani Owaidhi,Ronan Whyte,7,1000,958,0.5572116034252292,0.5262259093720687,0,0,0,0,8,2,38,11,0,0,0,0,19,5,38,11,3,4,1.0,0.4285714285714286,2880
Luke Pinches,Patrick Whelan,7,1009,1063,0.426617737721668,0.46630116456709914,15,7,83,39,33,15,172,88,33,19,71,34,45,24,138,78,3,4,1.0,0.4285714285714286,2880
George Pragnall,Christopher Watts,7,1132,1001,0.6729150209582901,0.581150964289394,61,31,344,172,4,2,17,8,39,25,157,85,0,0,9,4,2,4,1.0,0.33333333333333337,2880
Kevin van Hove,Eric Pei,7,1088,940,0.6935058085008956,0.5914589784327801,99,48,576,273,4,0,16,0,0,0,17,10,0,0,0,0,4,0,0.0,1.0,2880
Tony Corrigan,Steve Thomas,7,962,1000,0.4482027100420394,0.47626784587343896,15,4,77,30,0,0,0,0,20,8,34,10,0,0,0,0,3,4,1.0,0.4285714285714286,2880
Steven Breward,Daniel Schneider,7,1000,919,0.6092484254460552,0.5504527113395277,0,0,0,0,23,6,118,41,0,0,0,0,0,0,26,8,0,4,1.0,0.0,2880
Christophe Rives-Lange,Francisco Sanchez Ruiz,7,983,984,0.4986328153483015,0.4993750003255206,1,0,4,0,2,1,11,4,0,0,4,0,0,0,11,4,0,4,1.0,0.0,2880
Barry Pinches,Ian Martin,7,1205,1027,0.728275111254584,0.6094497836283252,764,396,5876,3048,35,16,215,102,124,58,259,140,0,0,52,28,4,1,0.0,0.8,2880
Edwin Ingebrigtsen,Adam Nash,7,984,983,0.5013671846516985,0.5006249996744794,1,0,4,0,2,0,12,4,0,0,0,0,0,0,6,2,1,4,1.0,0.19999999999999996,2880
Blythe Reeve,Fabian Monnin,7,987,1016,0.4604209113701607,0.48188293495681855,1,0,4,0,5,3,24,13,0,0,4,0,0,0,24,13,0,4,1.0,0.0,2880
Jackson Page,David Lilley,7,1187,1273,0.3842066871290606,0.44645609684888166,57,27,376,182,119,66,736,390,92,39,376,182,117,56,354,182,0,4,1.0,0.0,2880
Joshua Mallender,Khurram Khan,7,1000,1000,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,2880
Nezar Asseri,Kuldesh Johal,7,973,1169,0.2519097886969204,0.37989356765690985,4,1,21,6,224,126,1462,780,21,6,21,6,22,10,135,74,1,4,1.0,0.19999999999999996,2880
Andy Milliard,Nick Jennings,7,981,1069,0.38159841566069763,0.44522076489278517,12,4,70,30,104,49,570,280,22,8,70,30,0,0,0,0,2,4,1.0,0.33333333333333337,2880
Gareth Lopez,Hamim Hussain,7,992,955,0.5504420624351876,0.5231085254890889,1,0,6,2,4,0,18,2,0,0,6,2,0,0,14,2,0,4,1.0,0.0,2880
Jenson Kendrick,David Grace,7,951,1275,0.13649619723453,0.3078904956982118,13,2,71,26,348,159,2327,1122,21,9,65,24,119,54,472,226,1,4,1.0,0.19999999999999996,2880
Mitchell Grinstead,Mike Finn,7,1005,986,0.5259570402770715,0.5118727677562528,3,1,16,8,17,7,93,39,0,0,16,8,0,0,40,18,1,4,1.0,0.19999999999999996,2880
Leo Fernandez,Peter Devlin,7,1136,1020,0.6542665688127887,0.5719961329315186,435,256,3265,1738,43,19,223,103,33,17,165,65,40,20,131,71,4,1,0.0,0.8,2880
