player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Ken Doherty,Rhys Clark,9,1271,1170,0.6513228977147019,0.5627917401386452,1072,655,8821,4851,89,41,535,247,147,69,698,349,133,53,358,158,0,5,1.0,0.0,1354
Ali Carter,Alex Taubman,9,1502,1089,0.9405919769724852,0.7374002858276639,816,493,5843,3221,145,64,797,363,356,203,912,507,53,25,260,129,5,1,0.0,0.8333333333333334,1354
Lu Ning,Stuart Carrington,9,1127,1322,0.22716149423744814,0.3804826803529153,63,21,442,190,267,144,1718,902,15,5,269,114,200,104,665,334,1,5,1.0,0.16666666666666663,1354
Fergal O'Brien,Ian Burns,9,1369,1225,0.7101180862128782,0.5890404340586652,812,466,6163,3263,276,145,1746,897,190,100,840,453,155,72,584,276,4,5,1.0,0.4444444444444444,1354
Alfie Burden,Robbie Williams,9,1292,1335,0.4341792982260565,0.4731508513108857,611,329,4455,2297,310,171,2001,1031,146,67,577,286,206,105,725,366,5,2,0.0,0.7142857142857143,1354
Luca Brecel,Zhang Anda,9,1386,1396,0.4846231450559826,0.4937503255004896,243,131,1687,889,258,130,1811,913,247,138,827,456,216,122,680,356,5,1,0.0,0.8333333333333334,1354
Xiao Guodong,Nigel Bond,9,1398,1262,0.6995524948100826,0.5841905229354073,366,214,2450,1352,816,452,6507,3429,223,123,815,459,156,70,536,253,2,5,1.0,0.2857142857142857,1354
Stuart Bingham,Cao Yupeng,9,1544,1254,0.8657415704315571,0.6737070994545215,965,612,7076,4033,197,98,1425,716,408,249,1580,935,131,61,510,251,5,0,0.0,1.0,1354
Allan Taylor,Sam Baird,9,1151,1373,0.1974839766052917,0.3647051506771929,247,117,1459,720,284,152,1984,1027,117,42,438,176,248,128,727,376,3,5,1.0,0.375,1354
Lee Walker,Ding Junhui,9,1236,1602,0.0825419313813296,0.2859777732226983,413,230,3224,1668,647,435,4937,2828,140,62,453,215,463,274,1191,705,5,1,0.0,0.8333333333333334,1354
Andrew Higginson,Yuan Sijun,9,1363,1130,0.8138682185826696,0.6416424532015634,649,389,4619,2541,32,10,216,88,194,106,757,408,84,47,176,77,3,5,1.0,0.375,1354
Niu Zhuang,Tian Pengfei,9,1046,1292,0.1732747404981927,0.3509194757554267,26,10,145,59,315,178,2095,1121,6,1,92,37,103,40,664,362,1,5,1.0,0.16666666666666663,1354
Martin O'Donnell,Wang Yuchen,9,1232,1076,0.7256147727911193,0.5962826992967879,248,117,1525,758,39,12,248,98,129,62,492,255,85,35,153,62,5,0,0.0,1.0,1354
Ian Burns,Guan Zhen,9,1225,1088,0.7008831543460528,0.584797674717737,276,145,1746,897,28,16,149,79,155,72,584,276,6,1,63,29,5,3,0.0,0.625,1354
Kyren Wilson,Tom Ford,9,1460,1376,0.6268664452075894,0.5523079095743253,321,198,2109,1165,528,303,3794,2024,280,160,862,481,212,113,799,429,5,3,0.0,0.625,1354
Li Hang,Lee Walker,9,1294,1236,0.5884340025894599,0.5361866202317946,198,99,1424,732,413,230,3224,1668,170,87,698,372,140,62,453,215,3,5,1.0,0.375,1354
Martin Gould,Yuan Sijun,9,1428,1130,0.8720975009961879,0.6780882495516275,566,341,3826,2094,32,10,216,88,189,97,879,502,84,47,176,77,0,5,1.0,0.0,1354
