player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Ali Carter,Ding Junhui,7,1512,1523,0.4849647276654205,0.4931254332354657,1311,808,8840,4887,991,661,7603,4330,171,93,1028,577,123,64,854,478,4,3,0.0,0.5714285714285714
Judd Trump,Shaun Murphy,7,1682,1481,0.7534472409879828,0.6230466603666162,1435,1030,9856,5958,1347,884,9709,5516,197,129,1418,869,77,42,749,427,4,3,0.0,0.5714285714285714
Ronnie O'Sullivan,John Higgins,7,1643,1563,0.6079354159352611,0.549833997312478,1514,1156,13065,7973,1867,1317,14419,8505,150,90,976,588,240,135,1204,693,4,0,0.0,1.0
Ali Carter,Luca Brecel,7,1512,1465,0.5639634145132848,0.5293412500457857,1311,808,8840,4887,637,372,4262,2309,171,93,1028,577,63,34,774,426,1,4,1.0,0.19999999999999996
Mark Selby,Mark Allen,7,1583,1576,0.5095693356278296,0.5043748883497734,1556,1064,11066,6447,1066,709,7497,4267,198,115,1128,645,160,92,989,570,3,4,1.0,0.4285714285714286
Judd Trump,Ronnie O'Sullivan,7,1682,1643,0.5531518743848329,0.5243557087682074,1435,1030,9856,5958,1514,1156,13065,7973,197,129,1418,869,150,90,976,588,1,4,1.0,0.19999999999999996
Mark Allen,Luca Brecel,7,1576,1465,0.6479578189910671,0.5689332093695466,1066,709,7497,4267,637,372,4262,2309,160,92,989,570,63,34,774,426,2,4,1.0,0.33333333333333337
Luca Brecel,Ronnie O'Sullivan,9,1465,1643,0.24713411538701435,0.39055021637167475,637,372,4262,2309,1514,1156,13065,7973,63,34,774,426,150,90,976,588,2,5,1.0,0.2857142857142857
Gary Wilson,Mark Selby,19,1492,1579,0.3156706761212045,0.4458383472363514,723,416,4610,2484,1557,1064,11073,6450,186,103,818,433,205,118,1135,648,10,8,0.0,0.5555555555555556
Mark Williams,Tom Ford,19,1478,1444,0.5744353975478363,0.5212372149662741,1780,1166,12973,7443,937,536,6351,3393,78,36,860,497,108,55,841,449,10,9,0.0,0.5263157894736842
