player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Liu Linhao,Mubashir Raza,7,0.4945314322857424,0.497500020833125,5,4,25,16,14,8,78,44,25,16,25,16,11,7,48,28,0.0,0.5714285714285714
Peemachol Kongkitchertchoo,Nattanapong Chaikul,7,0.4319948632384636,0.4687906266262437,1,0,5,1,19,11,105,56,5,1,5,1,23,15,75,44,0.0,0.5714285714285714
Asutosh Padhy,Digvijay Kadian,7,0.6157933128709394,0.5535439031511182,16,7,91,44,14,2,79,26,4,0,67,36,5,1,35,13,1.0,0.19999999999999996
Qin Jianfeng,Abdul Javed,7,0.4754072254019548,0.48875189805314523,5,1,28,9,2,1,12,5,7,3,7,3,12,5,12,5,1.0,0.4285714285714286
Lomnaw Issarangkun,Nadeem Gul,7,0.4972656477862734,0.4987500026041602,4,1,20,5,5,1,25,8,11,4,20,5,8,0,25,8,0.0,0.6666666666666666
Li Chengjie,Zhao Hanyang,7,0.5680051367615364,0.5312093733737563,10,5,54,33,10,4,54,24,6,2,54,33,15,10,27,14,1.0,0.19999999999999996
Mohsin Amin,Ma Hailong,7,0.24548919020671278,0.376366371701774,4,3,24,13,64,26,400,184,24,13,24,13,60,26,400,184,1.0,0.0
Siddiqui Arshad,Ali Gharahgozlou,7,0.39732956508066253,0.45264238185691064,1,0,4,0,10,7,52,33,4,0,4,0,4,0,52,33,1.0,0.0
Luo Chenliang,Yao Dongcheng,7,0.442788396574771,0.4737740906279313,3,0,13,1,2,1,14,7,4,0,13,1,14,7,14,7,1.0,0.0
Thor Chuan Leong,Putthakam Kimsuk,7,0.7360780864464773,0.6136070778047783,208,78,1318,591,20,13,107,62,74,37,375,185,13,9,84,50,0.0,1.0
Cao Zeyi,Pongsakron Chongjairak (II),7,0.3999696104413816,0.4538814589542204,3,0,16,4,14,7,80,45,5,1,16,4,12,7,42,21,1.0,0.0
Chaiyasap Kitjaroenchai,Ritthichai Chimphanang,7,0.465864760862579,0.4843800842769844,3,2,17,8,7,4,40,23,17,8,17,8,13,7,40,23,1.0,0.19999999999999996
Arman Mardanighafarokhi,Muhammad Azhar Khan,7,0.5558590476581073,0.5256025883246178,4,1,19,5,7,0,33,5,4,0,19,5,6,2,25,5,1.0,0.4285714285714286
Pankaj Advani,Nadeem Gul,7,0.9220320707763195,0.7422125022622994,109,63,769,417,5,1,25,8,6,2,6,2,8,0,25,8,0.0,1.0
Muhammad Umar Khan,Luo Zetao,7,0.4333412855113351,0.46941323981791905,7,4,37,20,18,10,92,50,9,5,37,20,27,19,74,48,1.0,0.0
Lomnaw Issarangkun,Xu Yichen,7,0.4414365500608033,0.47315085131088563,4,1,20,5,3,2,16,9,11,4,20,5,16,9,16,9,1.0,0.0
Soheil Vahedi,Chen Qien,7,0.685100616527281,0.587223690839335,136,49,799,343,4,3,21,14,4,0,4,0,21,14,21,14,0.0,0.6666666666666666
Thanawat Thirapongpaiboon,Wan Nansen Sin Man,7,0.7782368395177592,0.6370307944803831,179,81,1242,596,9,5,49,26,16,11,16,11,13,6,43,24,0.0,0.5714285714285714
Narongdat Takantong,Abdul Javed,7,0.536858082179779,0.5168685956913849,15,8,85,45,2,1,12,5,7,3,46,21,12,5,12,5,0.0,1.0
Chhay Suon,Yao Dongcheng,7,0.5259570402770714,0.5118727677562528,3,2,17,10,2,1,14,7,17,10,17,10,14,7,14,7,0.0,0.8
Muhammad Azhar Khan,Yisong Peng,7,0.2595181866802163,0.3840246980818742,7,0,33,5,52,18,325,138,6,2,25,5,28,18,271,122,1.0,0.19999999999999996
Siyavosh Mozayani,Ritthichai Chimphanang,7,0.4604209113701609,0.4818829349568186,4,1,20,8,7,4,40,23,6,2,6,2,13,7,40,23,0.0,0.6666666666666666
Tian Pengfei,Babar Masih,7,0.782216602696327,0.639339836753066,583,316,3828,2007,12,3,80,34,49,20,441,213,7,3,42,20,1.0,0.0
Wang Yuhang,Liu Linhao,7,0.41991680863949377,0.46319171001101966,2,0,9,0,5,4,25,16,9,0,9,0,25,16,25,16,1.0,0.4285714285714286
Digvijay Kadian,Manasawin Phetmalaikul,7,0.3907515745539448,0.4495472886604723,14,2,79,26,73,21,434,171,5,1,35,13,56,23,267,102,0.0,1.0
Ali Gharahgozlou,Deng Jinhong,7,0.5920814957526259,0.5423979407743511,10,7,52,33,9,4,46,21,4,0,52,33,19,13,42,21,1.0,0.4285714285714286
Pongsakron Chongjairak (II),Zhao Hanyang,7,0.5733822622783318,0.5336988354329009,14,7,80,45,10,4,54,24,12,7,42,21,15,10,27,14,1.0,0.4285714285714286
Liu Yang,Ma Hailong,7,0.2751060630015586,0.3923368301671083,9,6,45,27,64,26,400,184,9,5,45,27,60,26,400,184,1.0,0.33333333333333337
Thor Chuan Leong,Chen Ruifu,7,0.756630061657872,0.6248064744684293,208,78,1318,591,19,8,102,49,74,37,375,185,12,6,12,6,0.0,1.0
Pankaj Advani,Peemachol Kongkitchertchoo,7,0.90851825129415,0.7290879223493065,109,63,769,417,1,0,5,1,6,2,6,2,5,1,5,1,0.0,1.0
Soheil Vahedi,Xu Yichen,7,0.7134663824052629,0.6016871801828567,136,49,799,343,3,2,16,9,4,0,4,0,16,9,16,9,1.0,0.4285714285714286
Thanawat Thirapongpaiboon,Deng Jinhong,7,0.8097380368967944,0.6558828412078137,179,81,1242,596,9,4,46,21,16,11,16,11,19,13,42,21,0.0,1.0
Liu Linhao,Narongdat Takantong,7,0.5136690272711699,0.5062496744995104,5,4,25,16,15,8,85,45,25,16,25,16,7,3,46,21,1.0,0.4285714285714286
