player1,player2,best_of,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,match_result,win_percentage
Jason Tart,David Brown,7,0.4754072254019545,0.4887518980531451,26,9,133,57,2,1,10,5,9,5,29,16,10,5,10,5,0.0,0.6666666666666666
Ronnie Sullivan,Joseph Casha,7,0.4577018760615691,0.4806346917700681,5,0,24,4,2,0,9,1,7,3,24,4,5,1,5,1,0.0,0.5714285714285714
Luke Simmonds,Daniel Walker,7,0.8605948171135659,0.6899744811276125,181,93,1130,580,17,0,74,6,4,0,35,10,4,0,21,1,0.0,1.0
James Silverwood,Oliver Briffett-Payne,7,0.4726790179572131,0.4875026035157896,106,33,558,224,6,0,34,8,5,1,40,15,9,1,34,8,0.0,0.8
Marc Shaw,Jai Platts,7,0.4185795134993229,0.4625701546562504,10,1,48,10,2,0,8,0,4,0,22,2,0,0,8,0,0.0,1.0
John Pritchett,Gary Skipworth,7,0.534135239137421,0.5156199157230156,20,7,106,45,16,4,121,53,10,4,10,4,5,1,10,2,0.0,0.6666666666666666
Brian Ochoiski,Dylan Smith,7,0.691115079332653,0.5902502519301834,68,27,350,158,10,0,50,8,10,6,48,24,7,3,22,4,0.0,0.8
Brandon Nguyen,Darren Burns,7,0.6326419490877371,0.5615610703361955,1,0,5,1,29,8,148,50,5,1,5,1,5,1,18,5,0.0,0.8
Saqib Nasir,Matthew Glasby,7,0.5314106943491967,0.5143710406970602,133,62,722,364,89,40,472,218,4,0,38,12,10,5,55,27,0.0,1.0
Aidan Murphy (II),Velian Dimitrov,7,0.5054685677142574,0.5024999791668749,7,1,34,12,4,1,18,5,10,5,20,7,5,1,18,5,0.0,0.5714285714285714
Nicolas Mortreux,Richard Pipe,7,0.7237619985420221,0.6070669880717036,7,2,39,16,48,11,336,117,9,4,39,16,4,0,25,5,0.0,0.8
Faizaan Mohammed,Jamie Gimblett,7,0.4645031181885513,0.4837557189379275,16,5,81,32,1,0,5,1,10,6,37,15,5,1,5,1,0.0,0.5714285714285714
Alex Millington,Steven Wardropper,7,0.5436568604546561,0.5199893401555818,37,17,212,105,6,2,27,11,25,13,62,31,10,6,27,11,0.0,1.0
Elias Martin-Beris,Steven Croker,7,0.4740429597229285,0.4881272322437472,6,1,29,9,1,0,4,0,7,3,29,9,4,0,4,0,0.0,1.0
Ian Martin,Shaun Liu,7,0.5693507188778237,0.5318318894162242,84,41,464,221,8,4,37,17,15,8,95,38,11,5,37,17,0.0,0.8
Mark Lloyd,Mohammad Ashraf,7,0.5800831913605062,0.5368082899889803,48,19,246,113,1,0,4,0,26,18,69,34,4,0,4,0,0.0,0.8
Andy Lavin,Kian Dennett,7,0.6287764284690306,0.5597136492671929,40,22,275,149,3,0,14,2,11,7,38,21,5,1,14,2,0.0,1.0
Tony Knowles,Danny Brindle,7,0.5867595016023184,0.5399148845555657,613,304,5018,2488,40,10,218,78,4,0,35,12,9,5,50,24,0.0,0.8
Stephen Kershaw,William Hurley,7,0.476771798023094,0.4893765989950364,214,91,1487,703,1,0,5,1,12,5,52,25,5,1,5,1,0.0,0.8
Filips Kalniņš,Lewis Knowles,7,0.4387350506415305,0.4719046255916129,8,2,51,15,1,0,4,0,10,5,29,8,4,0,4,0,0.0,1.0
Rodion Judin,Robert Read,7,0.4319948632384636,0.4687906266262437,41,17,243,100,23,9,129,58,6,2,49,19,6,2,6,2,0.0,0.8
Nathan Jones,Jamie Wilson,7,0.446848125615167,0.4756442912317927,10,4,61,28,62,21,316,130,12,6,38,19,7,3,48,24,0.0,0.6666666666666666
Ashley Hugill,Adam Stacey,7,0.847732715071801,0.6808107108156386,255,112,1542,738,2,1,9,4,26,17,305,148,9,4,9,4,0.0,1.0
Jack Harris,Christian Richter,7,0.4740429597229285,0.4881272322437472,14,4,79,32,1,0,6,2,5,1,30,11,6,2,6,2,0.0,0.8
Steven Crowley,Jay Bullen,7,0.5463726874746992,0.5212372149662741,2,0,10,3,9,2,50,18,6,2,6,2,9,4,27,11,0.0,0.6666666666666666
Jake Crofts,Joel Connolly Jnr,7,0.4822328180835893,0.4918757150937391,9,2,54,19,13,3,62,21,13,6,40,17,10,6,51,20,0.0,0.5714285714285714
Bradley Cowdroy,Mark Bell,7,0.4577018760615691,0.4806346917700681,22,7,105,42,13,5,70,31,5,1,43,15,12,7,25,12,0.0,0.6666666666666666
Billy Joe Castle,Kaylan Patel,7,0.6692199309586204,0.5793242521487495,163,72,903,417,3,1,26,12,20,13,79,43,26,12,26,12,0.0,1.0
Daniel Boyes,Daniel Young (II),7,0.5693507188778237,0.5318318894162242,4,2,18,10,3,0,13,1,17,10,18,10,4,0,13,1,0.0,0.8
Richard Binns,Aidan Gallagher,7,0.5150352723345792,0.5068745667645342,10,3,49,19,6,1,30,9,11,6,11,6,5,1,30,9,0.0,0.8
Scott Bell,Ronan McGuirk,7,0.3802964135005039,0.4446033516794108,23,6,121,42,1,0,5,1,11,4,39,13,5,1,5,1,0.0,1.0
Craig Barber,Ross Vallance,7,0.3419698023265051,0.4261687424083906,78,32,486,220,37,17,193,92,4,0,4,0,6,2,6,2,0.0,0.6666666666666666
John Astley,Ethan Llewellyn,7,0.8070005952389404,0.654188113761243,353,158,2200,1039,1,0,6,2,11,7,241,108,6,2,6,2,0.0,0.8
Labeeb Ahmed,Adam Williams,7,0.4306492811221761,0.4681681105837757,20,6,98,35,4,1,21,8,4,0,39,16,9,4,21,8,0.0,0.6666666666666666
Adam Abbas,Imran Puri,7,0.8733372031383986,0.6995172276624274,4,1,22,7,75,10,365,83,4,0,22,7,4,0,23,7,0.0,0.8
Dean Young,William Forster,7,0.6655072126279344,0.5774953651858118,127,48,707,300,1,0,4,0,72,32,400,172,4,0,4,0,0.0,0.6666666666666666
Daniel Womersley,Craig Barber,7,0.726023440718493,0.6082590307465143,123,58,638,305,78,32,486,220,46,22,219,103,4,0,4,0,0.0,1.0
Patrick Whelan,Ronnie Blake,7,0.67536846283006,0.5823675407280794,68,33,362,182,16,4,84,31,27,18,77,44,7,3,17,5,0.0,0.5714285714285714
Stuart Watson,Alexander Widau,7,0.4225943374899878,0.4644351620161461,70,19,386,150,1,0,7,3,11,5,55,27,7,3,7,3,0.0,0.5714285714285714
Lewis Ullah,Faizaan Mohammed,7,0.578744911388209,0.5361866202317948,38,16,208,94,16,5,81,32,10,5,100,50,10,6,37,15,0.0,0.8
Gary Thomson,Jamie O'Neill,7,0.4781366606027012,0.4900013331200346,184,93,1288,654,397,195,2438,1226,11,6,50,25,5,1,156,70,0.0,0.5714285714285714
Joshua Thomond,Marc Shaw,7,0.6826800016944434,0.5860112044388707,91,37,501,232,10,1,48,10,60,26,215,97,4,0,22,2,0.0,0.6666666666666666
Jason Tart,Andres Petrov,7,0.3789958530707534,0.44398610945538,26,9,133,57,74,26,457,194,9,5,29,16,16,11,232,92,0.0,0.5714285714285714
Oliver Sykes,Zack Richardson,7,0.3699335043548132,0.4396703573114467,19,8,121,58,88,46,486,269,6,2,116,57,23,15,104,60,0.0,0.8
Fergal Quinn (II),Ronnie Sullivan,7,0.6390526295107546,0.5646362918030292,43,20,229,113,5,0,24,4,24,10,124,62,7,3,24,4,0.0,0.8
George Pragnell (II),Denys Khmelevskyi,7,0.6248970337106214,0.5578645727207344,29,17,173,93,5,1,30,14,18,12,82,44,11,7,11,7,0.0,0.6666666666666666
Barry Pinches,Michał Kotiuk,7,0.7426684543010009,0.6171573626529722,883,444,6517,3335,3,0,16,4,8,4,248,120,4,0,16,4,0.0,0.5714285714285714
Andrew Pagett,Riley Powell,7,0.6667467241528153,0.5781052328843092,363,156,2324,1081,17,6,75,27,37,13,390,160,13,5,75,27,0.0,0.8
Sean O'Sullivan,William Lemons,7,0.549086208422272,0.5224848247918001,292,110,1822,806,49,21,280,132,12,6,247,105,14,10,14,10,0.0,0.8
Phil O'Kane,Daniel Boyes,7,0.5987085312450529,0.5454987872127821,127,59,667,325,4,2,18,10,20,11,76,40,17,10,18,10,0.0,0.6666666666666666
Saqib Nasir,Jenson Kendrick,7,0.3855129272771354,0.4470740118670941,133,62,722,364,81,29,500,212,4,0,38,12,13,7,259,107,0.0,0.5714285714285714
Josh Mulholland,Andy Lavin,7,0.4685893056508032,0.4856289593029398,38,18,195,96,40,22,275,149,5,1,100,50,11,7,38,21,0.0,0.6666666666666666
Nicolas Mortreux,Matt Williams,7,0.5068355814796678,0.5031249593105316,7,2,39,16,56,25,307,139,9,4,39,16,17,8,49,23,0.0,1.0
Hammad Miah,Scott Bell,7,0.8627807229403067,0.6915765137521193,310,124,2001,907,23,6,121,42,93,48,412,189,11,4,39,13,0.0,0.8
Rory McLeod,Aidan Murphy (II),7,0.7316341543771714,0.6112334666758695,719,374,5075,2577,7,1,34,12,7,3,155,70,10,5,20,7,0.0,1.0
Sean McAllister,Brandon Nguyen,7,0.5814204865006773,0.5374298453437496,45,21,239,118,1,0,5,1,11,6,85,48,5,1,5,1,0.0,0.8
Mark Lloyd,Craig Steadman,7,0.2595181866802162,0.3840246980818742,48,19,246,113,590,312,3781,1952,26,18,69,34,26,17,206,106,0.0,0.5714285714285714
Peter Lines,Labeeb Ahmed,7,0.837347307313657,0.6737070994545215,925,479,6507,3327,20,6,98,35,19,9,195,99,4,0,39,16,0.0,1.0
