player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage
Ricky Walden,Jamie Clarke,7,1380,1287,0.6248970337106214,0.5578645727207344,1169,691,7865,4301,336,168,2011,999,246,126,924,488,111,52,529,257,4,0,0.0,1.0
Chris Wakelin,Wu Yize,7,1459,1340,0.6580301976734948,0.5738312575916094,430,232,2734,1415,113,56,782,394,263,138,835,452,136,71,568,298,4,2,0.0,0.6666666666666666
Thepchaiya Un-Nooh,Noppon Saengkham,7,1441,1399,0.557211603425229,0.5262259093720687,564,329,3894,2077,463,241,3163,1602,123,65,641,349,154,79,779,419,4,0,0.0,1.0
Judd Trump,Ryan Day,7,1671,1387,0.8323923521776074,0.6704011598088686,1458,1048,10084,6098,1316,778,8687,4727,425,269,1646,1009,262,135,968,506,4,2,0.0,0.6666666666666666
Haris Tahir,Simon Blackwell,7,1063,1159,0.3712235715309693,0.44028635073280703,14,9,88,46,62,32,312,166,63,34,88,46,79,46,106,58,4,1,0.0,0.8
Akani Songsermsawad,Antoni Kowalski,7,1355,1134,0.774213209168811,0.6347154153791584,232,125,1525,787,41,21,228,118,70,44,229,125,71,38,104,58,4,1,0.0,0.8
Elliot Slessor,Martin O'Donnell,7,1392,1317,0.6013510291923431,0.5467381519846138,379,186,2312,1141,512,260,3178,1607,207,116,636,332,155,79,461,229,4,3,0.0,0.5714285714285714
Yuan Sijun,Robbie Williams,7,1432,1359,0.5987085312450529,0.5454987872127821,272,143,1731,896,560,301,3591,1844,146,80,633,360,148,74,568,305,4,2,0.0,0.6666666666666666
Xu Si,Gong Chenzhi,7,1336,1137,0.7513122476997512,0.6218716423074662,201,86,1280,588,23,12,165,85,131,65,491,241,78,38,165,85,4,1,0.0,0.8
Neil Robertson,Chris Totten,7,1489,1126,0.8895753795158947,0.7124883131320702,1275,845,9340,5374,97,34,561,227,241,142,955,543,87,49,175,96,4,1,0.0,0.8
Stan Moody,Michael Holt,7,1174,1245,0.4039387802743521,0.4557411415821268,53,19,317,141,1010,569,7016,3699,92,42,281,126,41,15,304,153,4,0,0.0,1.0
Ben Mertens,Hammad Miah,7,1244,1220,0.5327731710226205,0.51499550161941,100,46,610,304,289,116,1849,835,104,49,439,222,74,28,400,181,4,1,0.0,0.8
Stephen Maguire,Liam Graham,7,1416,985,0.9257123991491316,0.7460205900722962,1204,778,8802,4941,49,14,271,102,176,93,671,356,57,16,192,62,4,1,0.0,0.8
Oliver Lines,Cheung Ka Wai,7,1279,1152,0.6679843009449487,0.578714862460134,372,176,2231,1086,27,17,158,93,67,22,439,206,52,23,158,93,4,3,0.0,0.5714285714285714
Jak Jones,Alfie Burden,7,1438,1277,0.7088291167182063,0.5992881635083561,403,200,2654,1274,809,420,5747,2921,308,171,817,441,100,54,425,204,4,0,0.0,1.0
John Higgins,Shaun Murphy,7,1511,1513,0.4972656477862734,0.49875000260416025,1885,1328,14584,8591,1368,899,9879,5613,405,221,1369,779,247,139,919,524,4,2,0.0,0.6666666666666666
Lyu Haotian,Allan Taylor,7,1360,1245,0.6530083881296338,0.5713839816769324,339,172,2220,1106,447,205,2634,1264,133,61,687,369,122,67,412,187,4,1,0.0,0.8
David Grace,Lewis Ullah,7,1194,1031,0.7111524094404451,0.6004882745269664,481,222,3147,1519,31,13,178,82,82,35,458,213,40,22,125,65,4,0,0.0,1.0
David Gilbert,Ben Woollaston,7,1511,1383,0.6692199309586204,0.5793242521487495,954,561,6544,3545,832,469,5253,2789,248,143,814,450,124,68,545,283,4,1,0.0,0.8
Marco Fu,Ma Hailong,7,1374,1146,0.7812257884147848,0.6387631751488418,972,568,7258,3930,37,12,241,103,116,63,392,199,106,48,241,103,4,2,0.0,0.6666666666666666
Graeme Dott,Zhou Yuelong,7,1341,1431,0.37899585307075345,0.44398610945538003,1183,691,8481,4562,505,299,3187,1721,126,68,649,343,136,67,879,468,4,1,0.0,0.8
Mark Davis,Xiao Guodong,7,1377,1494,0.34447706088090824,0.42739193613673987,1316,782,9049,4918,757,438,4747,2603,127,69,509,254,196,108,928,495,4,2,0.0,0.6666666666666666
Liam Davies,Anton Kazakov,7,1099,972,0.6679843009449487,0.578714862460134,43,20,260,121,48,9,279,92,63,30,234,111,83,33,257,83,4,0,0.0,1.0
Thor Chuan Leong,Mark Joyce,7,1203,1305,0.3635067817280711,0.4365932137378064,181,64,1132,498,640,328,4426,2226,78,35,219,112,119,65,443,222,4,3,0.0,0.5714285714285714
Ashley Carty,Long Zehuang,7,1266,1342,0.3973295650806627,0.45264238185691075,278,129,1630,799,73,37,418,214,96,47,343,168,153,88,259,136,4,0,0.0,1.0
Luca Brecel,Tian Pengfei,7,1447,1302,0.6899164671577602,0.5896454785627312,643,374,4316,2334,564,310,3699,1947,117,59,828,451,112,56,479,237,4,2,0.0,0.6666666666666666
Iulian Boiko,Si Jiahui,7,1170,1475,0.15071194936304244,0.31810373541040654,105,40,587,255,191,108,1292,694,110,53,353,178,295,169,868,474,4,1,0.0,0.8
Stuart Bingham,Bulcsú Révész,7,1436,1067,0.8932262852912048,0.7155512239631054,1507,951,10439,5911,16,6,118,54,257,133,951,503,67,31,118,54,4,0,0.0,1.0
Zhang Anda,Hossein Vafaei,7,1432,1488,0.42393453930920916,0.4650570548417855,483,251,3390,1732,334,203,2325,1244,213,105,840,466,181,107,848,489,4,1,0.0,0.8
