,id,year,url,name,status,category,city,country
259,4410,2021,https://cuetracker.net/tournaments/q-school-event-3/2021/4410,2021 Q School - Event 3,Professional,Tour Qualifier,Sheffield,England
260,4970,2021,https://cuetracker.net/tournaments/serbian-amateur-championship/2021/4970,2021 Serbian Amateur Championship,Amateur,National Championship,Belgrad,Serbia
261,4409,2021,https://cuetracker.net/tournaments/q-school-event-2/2021/4409,2021 Q School - Event 2,Professional,Tour Qualifier,Sheffield,England
262,4407,2021,https://cuetracker.net/tournaments/lithuanian-amateur-championship/2021/4407,2021 Lithuanian Amateur Championship,Amateur,National Championship,Vilnius,Lithuania
263,4405,2021,https://cuetracker.net/tournaments/q-school-event-1/2021/4405,2021 Q School - Event 1,Professional,Tour Qualifier,Sheffield,England
264,2237,2021,https://cuetracker.net/tournaments/belarus-amateur-championship/2021/2237,2021 Belarus Amateur Championship,Amateur,National Championship,Minsk,Belarus
265,3520,2021,https://cuetracker.net/tournaments/romania-national-league-event-5/2021/3520,2021 Romania - National League - Event 5,Amateur,National Ranking,Bucharest,Romania
266,4401,2021,https://cuetracker.net/tournaments/world-seniors-championship/2021/4401,2021 World Seniors Championship,Pro-am,World Event,Sheffield,England
267,4404,2021,https://cuetracker.net/tournaments/jersey-amateur-championship/2021/4404,2021 Jersey Amateur Championship,Amateur,National Championship,Various,Jersey
268,4403,2021,https://cuetracker.net/tournaments/iceland-amateur-championship/2021/4403,2021 Iceland Amateur Championship,Amateur,National Championship,Reykjavik,Iceland
269,4400,2021,https://cuetracker.net/tournaments/australian-masters-championship/2021/4400,2021 Australian Masters Championship,Amateur,National Championship,Tumbi Umbi,Australia
270,4396,2021,https://cuetracker.net/tournaments/world-championship/2021/4396,2021 World Championship,Professional,Ranking,Sheffield,England
271,4398,2021,https://cuetracker.net/tournaments/romania-national-league-event-4/2021/4398,2021 Romania - National League - Event 4,Amateur,National Ranking,Bucharest,Romania
272,3513,2021,https://cuetracker.net/tournaments/cbsa-tour-qualifier-2/2021/3513,2021 CBSA Tour Qualifier 2,Amateur,National Ranking,Beijing,China
273,4399,2021,https://cuetracker.net/tournaments/cbsa-tour-qualifier-1/2021/4399,2021 CBSA Tour Qualifier 1,Amateur,National Ranking,Beijing,China
274,5150,2021,https://cuetracker.net/tournaments/guernsey-womens-championship/2021/5150,2021 Guernsey Womens Championship,Amateur,National Championship,St. Peter Port,Guernsey
275,4395,2021,https://cuetracker.net/tournaments/world-seniors-q-school-world-championships/2021/4395,2021 World Seniors Q School World Championships,Pro-am,Event,Reading,England
276,4393,2021,https://cuetracker.net/tournaments/tour-championship/2021/4393,2021 Tour Championship,Professional,Ranking,Newport,Wales
277,4392,2021,https://cuetracker.net/tournaments/romania-national-league-event-3/2021/4392,2021 Romania - National League - Event 3,Amateur,National Ranking,Bucharest,Romania
