player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id
Barry Pinches,Jack Lisowski,5,1184,1456,0.21423324253251247,0.3362613025956473,813,416,6114,3155,640,391,4138,2264,91,39,362,165,273,136,1052,562,3,2,0.0,0.6,4494
Andrew Pagett,Michael Judge,5,1185,1295,0.3734855588405639,0.4316800165217519,279,129,1799,875,504,293,4003,2148,12,5,110,60,56,37,111,63,3,1,0.0,0.75,4494
Martin O'Donnell,Gerard Greene,5,1369,1255,0.6309350837576155,0.5707716118944918,429,217,2637,1337,791,413,5739,2954,96,55,490,248,89,39,401,178,3,2,0.0,0.6,4494
Joe O'Connor,Steven Hallworth,5,1343,1269,0.5859830640468522,0.5461185410457796,182,86,1130,554,158,73,877,418,106,55,487,247,97,47,256,130,3,2,0.0,0.6,4494
Lu Ning,Igor Figueiredo,5,1382,1242,0.6591879268201005,0.5866175789173301,193,94,1243,616,151,70,1049,485,115,55,554,292,93,44,286,121,3,1,0.0,0.75,4494
Ross Muir,Ryan Day,5,1234,1421,0.2922088131792804,0.3852081305077805,210,81,1355,614,1153,688,7661,4196,77,47,227,118,153,86,675,343,3,2,0.0,0.6,4494
Hammad Miah,Ben Woollaston,5,1207,1385,0.3012430521697029,0.3905502163716748,213,83,1378,618,730,414,4615,2453,74,44,313,143,96,52,600,319,3,2,0.0,0.6,4494
Stephen Maguire,Jackson Page,5,1367,1261,0.622075640573307,0.5658650028954817,1095,713,8010,4516,107,51,646,311,101,49,844,440,91,49,362,168,3,0,0.0,1.0,4494
Oliver Lines,Si Jiahui,5,1306,1253,0.5618379649527969,0.5330766223661046,289,137,1740,852,71,34,380,203,100,54,400,191,130,73,374,201,3,0,0.0,1.0,4494
David Lilley,Craig Steadman,5,1256,1313,0.43354050968264723,0.4644351620161461,174,91,1006,520,527,282,3386,1763,137,74,387,186,62,36,355,181,3,1,0.0,0.75,4494
