player1,player2,best_of,player1_elo,player2_elo,elo_match_win_rate,elo_frame_win_rate,p1_matches_played,p1_matches_won,p1_frames_played,p1_frames_won,p2_matches_played,p2_matches_won,p2_frames_played,p2_frames_won,p1_frames_played_1_year,p1_frames_won_1_year,p1_frames_played_3_years,p1_frames_won_3_years,p2_frames_played_1_year,p2_frames_won_1_year,p2_frames_played_3_years,p2_frames_won_3_years,score1,score2,match_result,win_percentage,tournament_id,p1_frames_win_rate,p2_frames_win_rate,p1_matches_win_rate,p2_matches_win_rate
Andy Lavin,Josh Mulholland,7,1059,1036,0.5314106943491967,0.5143710406970602,40,22,275,149,38,18,195,96,11,7,38,21,5,1,100,50,2,4,1.0,0.3333333333333333,6803,0.5418181818181819,0.49230769230769234,0.55,0.47368421052631576
Matt Williams,Nicolas Mortreux,7,975,980,0.4931644185203322,0.4968750406894684,56,25,307,139,7,2,39,16,17,8,49,23,9,4,39,16,0,4,1.0,0.0,6803,0.4527687296416938,0.41025641025641024,0.44642857142857145,0.2857142857142857
Scott Bell,Hammad Miah,7,899,1222,0.1372192770596932,0.3084234862478807,23,6,121,42,310,124,2001,907,11,4,39,13,93,48,412,189,1,4,1.0,0.1999999999999999,6803,0.34710743801652894,0.45327336331834084,0.2608695652173913,0.4
Aidan Murphy (II),Rory McLeod,7,977,1158,0.2683658456228286,0.3887665333241304,7,1,34,12,719,374,5075,2577,10,5,20,7,7,3,155,70,0,4,1.0,0.0,6803,0.35294117647058826,0.5077832512315271,0.14285714285714285,0.5201668984700973
Brandon Nguyen,Sean McAllister,7,988,1048,0.4185795134993226,0.4625701546562504,1,0,5,1,45,21,239,118,5,1,5,1,11,6,85,48,1,4,1.0,0.1999999999999999,6803,0.2,0.49372384937238495,0.0,0.4666666666666667
Craig Steadman,Mark Lloyd,7,1231,1042,0.7404818133197838,0.6159753019181258,590,312,3781,1952,48,19,246,113,26,17,206,106,26,18,69,34,3,4,1.0,0.4285714285714286,6803,0.5162655382174028,0.45934959349593496,0.5288135593220339,0.3958333333333333
Labeeb Ahmed,Peter Lines,7,928,1218,0.1626526926863429,0.3262929005454785,20,6,98,35,925,479,6507,3327,4,0,39,16,19,9,195,99,0,4,1.0,0.0,6803,0.35714285714285715,0.5112955278930382,0.3,0.5178378378378379
Nigel Clarke,James Lee (II),7,916,984,0.4079185042473743,0.457602059225649,9,1,44,10,1,0,4,0,10,4,30,8,4,0,4,0,3,4,1.0,0.4285714285714286,6803,0.22727272727272727,0.0,0.1111111111111111,0.0
Jeff Cundy,Daegyu Lee,7,1098,1046,0.5706954446194283,0.5324543063873188,549,289,3784,1958,26,15,142,77,6,2,45,22,4,0,61,31,1,4,1.0,0.1999999999999999,6803,0.5174418604651163,0.5422535211267606,0.5264116575591985,0.5769230769230769
James Burrett,Keith Keldie,7,764,945,0.2683658456228286,0.3887665333241304,57,11,284,84,41,13,218,83,5,1,32,11,12,6,50,24,0,4,1.0,0.0,6803,0.29577464788732394,0.38073394495412843,0.19298245614035087,0.3170731707317073
Lee Stephens,Anton Kazakov,7,927,955,0.4617811766046101,0.4825071423336102,29,8,161,63,60,11,353,118,10,4,32,14,39,16,277,95,0,4,1.0,0.0,6803,0.391304347826087,0.3342776203966006,0.27586206896551724,0.18333333333333332
Filips Kalniņš,Daan Leyssen Janssen,7,944,1018,0.3999696104413816,0.4538814589542204,8,2,51,15,26,13,142,69,10,5,29,8,4,0,54,22,4,3,0.0,0.5714285714285714,6803,0.29411764705882354,0.4859154929577465,0.25,0.5
Rodion Judin,Harvey Chandler,7,961,1123,0.2900080765729088,0.4001116311360017,41,17,243,100,100,37,567,250,6,2,49,19,4,0,68,35,4,1,0.0,0.8,6803,0.411522633744856,0.4409171075837742,0.4146341463414634,0.37
